title,price_current,price_original,discount_percent,discount_source,has_coupon,is_limited_time_deal,url,product_dimensions
"Knit Cuffed Beanie for Men/Women, Soft Warm Winter Hat Unisex Stocking Cap",,,,,False,False,"https://www.amazon.com/ROXUN-Cuffed-Beanie-Winter-Stocking/dp/B0FHPYBYYZ/ref=sr_1_1_sspa?crid=3UD0HZDEGZ2PT&dib=eyJ2IjoiMSJ9.rsRuWNAZIB5bJy_6apC1D9w8GVqAJ9TetzuQVaYrdGxRpYfEX2q__cT3x02aZFhXWIjPAUUVfrLxdpUcTZNh-2NFOdWa55d860FdAeQYkbO3U623ZVoeyq_65dpvZm51wyOra0XRrU-MV5pJoCUi3taKsvP47q1PqQb2rnWYvYm7jRz5WOUnIGzB8rz8EehRq4nyu_4GVBI2CS41EJl5GAb8dhme8mYwDL0h6DZ1eZ3xg8jYNzurCJrnzXfq1FUlZlaG1N52_8PKAFRmS9iYtrUI6nAJtagnhlVZRzGp_ck.ZfdmHyvs1zAd38CngtgCYcgwR0HBJ4RoOgwDi4YuL5c&dib_tag=se&keywords=hats&qid=1759276708&sprefix=ha,aps,230&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1",
"Baseball Cap, Snapback Trucker Hat for Men & Women with American Flag and Adjustable, Breathable Mesh, Flat Bill Hats",,,,,False,False,"https://www.amazon.com/UALON-Baseball-Snapback-Adjustable-Breathable/dp/B0C1N59ZQP/ref=sr_1_2_sspa?crid=3UD0HZDEGZ2PT&dib=eyJ2IjoiMSJ9.rsRuWNAZIB5bJy_6apC1D9w8GVqAJ9TetzuQVaYrdGxRpYfEX2q__cT3x02aZFhXWIjPAUUVfrLxdpUcTZNh-2NFOdWa55d860FdAeQYkbO3U623ZVoeyq_65dpvZm51wyOra0XRrU-MV5pJoCUi3taKsvP47q1PqQb2rnWYvYm7jRz5WOUnIGzB8rz8EehRq4nyu_4GVBI2CS41EJl5GAb8dhme8mYwDL0h6DZ1eZ3xg8jYNzurCJrnzXfq1FUlZlaG1N52_8PKAFRmS9iYtrUI6nAJtagnhlVZRzGp_ck.ZfdmHyvs1zAd38CngtgCYcgwR0HBJ4RoOgwDi4YuL5c&dib_tag=se&keywords=hats&qid=1759276708&sprefix=ha,aps,230&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1",
"Baseball Cap, American Flag Trucker Hat for Men Women, Breathable Adjustable Fit Outdoor Mesh Snapback Hats",,,,,False,False,"https://www.amazon.com/VIONLAN-Baseball-American-Embossed-Adjustable/dp/B09W58K2L3/ref=sr_1_3_sspa?crid=3UD0HZDEGZ2PT&dib=eyJ2IjoiMSJ9.rsRuWNAZIB5bJy_6apC1D9w8GVqAJ9TetzuQVaYrdGxRpYfEX2q__cT3x02aZFhXWIjPAUUVfrLxdpUcTZNh-2NFOdWa55d860FdAeQYkbO3U623ZVoeyq_65dpvZm51wyOra0XRrU-MV5pJoCUi3taKsvP47q1PqQb2rnWYvYm7jRz5WOUnIGzB8rz8EehRq4nyu_4GVBI2CS41EJl5GAb8dhme8mYwDL0h6DZ1eZ3xg8jYNzurCJrnzXfq1FUlZlaG1N52_8PKAFRmS9iYtrUI6nAJtagnhlVZRzGp_ck.ZfdmHyvs1zAd38CngtgCYcgwR0HBJ4RoOgwDi4YuL5c&dib_tag=se&keywords=hats&qid=1759276708&sprefix=ha,aps,230&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1",
Outdoor UPF50+ Mesh Sun Hat Wide Brim Fishing Hat with Neck Flap Sun Hat for Men Women,13.25,,,,False,True,"https://www.amazon.com/Home-Prefer-Outback-Safari-Fishing/dp/B07CPY32PW/ref=sr_1_4_sspa?crid=3UD0HZDEGZ2PT&dib=eyJ2IjoiMSJ9.rsRuWNAZIB5bJy_6apC1D9w8GVqAJ9TetzuQVaYrdGxRpYfEX2q__cT3x02aZFhXWIjPAUUVfrLxdpUcTZNh-2NFOdWa55d860FdAeQYkbO3U623ZVoeyq_65dpvZm51wyOra0XRrU-MV5pJoCUi3taKsvP47q1PqQb2rnWYvYm7jRz5WOUnIGzB8rz8EehRq4nyu_4GVBI2CS41EJl5GAb8dhme8mYwDL0h6DZ1eZ3xg8jYNzurCJrnzXfq1FUlZlaG1N52_8PKAFRmS9iYtrUI6nAJtagnhlVZRzGp_ck.ZfdmHyvs1zAd38CngtgCYcgwR0HBJ4RoOgwDi4YuL5c&dib_tag=se&keywords=hats&qid=1759276708&sprefix=ha,aps,230&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1",
Men's Athletic Baseball Fitted Cap,12.47,,,,False,False,https://www.amazon.com/Flexfit-Athletic-Baseball-Fitted-Black/dp/B073DTZ6KZ/ref=sr_1_5?crid=3UD0HZDEGZ2PT&dib=eyJ2IjoiMSJ9.rsRuWNAZIB5bJy_6apC1D9w8GVqAJ9TetzuQVaYrdGxRpYfEX2q__cT3x02aZFhXWIjPAUUVfrLxdpUcTZNh-2NFOdWa55d860FdAeQYkbO3U623ZVoeyq_65dpvZm51wyOra0XRrU-MV5pJoCUi3taKsvP47q1PqQb2rnWYvYm7jRz5WOUnIGzB8rz8EehRq4nyu_4GVBI2CS41EJl5GAb8dhme8mYwDL0h6DZ1eZ3xg8jYNzurCJrnzXfq1FUlZlaG1N52_8PKAFRmS9iYtrUI6nAJtagnhlVZRzGp_ck.ZfdmHyvs1zAd38CngtgCYcgwR0HBJ4RoOgwDi4YuL5c&dib_tag=se&keywords=hats&qid=1759276708&sprefix=ha%2Caps%2C230&sr=8-5,
"3 Pack Washed Plain Baseball Cap, Retro Adjustable Dad Hats Gift for Men/Women,Unstructured/Cotton",11.59,,,,False,True,https://www.amazon.com/MNXA-Baseball-Adjustable-Unstructured-Burgundy/dp/B08H59VBFQ/ref=sr_1_6?crid=3UD0HZDEGZ2PT&dib=eyJ2IjoiMSJ9.rsRuWNAZIB5bJy_6apC1D9w8GVqAJ9TetzuQVaYrdGxRpYfEX2q__cT3x02aZFhXWIjPAUUVfrLxdpUcTZNh-2NFOdWa55d860FdAeQYkbO3U623ZVoeyq_65dpvZm51wyOra0XRrU-MV5pJoCUi3taKsvP47q1PqQb2rnWYvYm7jRz5WOUnIGzB8rz8EehRq4nyu_4GVBI2CS41EJl5GAb8dhme8mYwDL0h6DZ1eZ3xg8jYNzurCJrnzXfq1FUlZlaG1N52_8PKAFRmS9iYtrUI6nAJtagnhlVZRzGp_ck.ZfdmHyvs1zAd38CngtgCYcgwR0HBJ4RoOgwDi4YuL5c&dib_tag=se&keywords=hats&qid=1759276708&sprefix=ha%2Caps%2C230&sr=8-6,
Women's Flower Knit Hat Winter Warm Wool Beanie Black and Pink Crochet Slouchy Hat for Women,22.99,,,,False,False,https://www.amazon.com/Chicingyou-Womens-Flower-Crochet-Slouchy/dp/B0FKTMVGT1/ref=sr_1_7?crid=3UD0HZDEGZ2PT&dib=eyJ2IjoiMSJ9.rsRuWNAZIB5bJy_6apC1D9w8GVqAJ9TetzuQVaYrdGxRpYfEX2q__cT3x02aZFhXWIjPAUUVfrLxdpUcTZNh-2NFOdWa55d860FdAeQYkbO3U623ZVoeyq_65dpvZm51wyOra0XRrU-MV5pJoCUi3taKsvP47q1PqQb2rnWYvYm7jRz5WOUnIGzB8rz8EehRq4nyu_4GVBI2CS41EJl5GAb8dhme8mYwDL0h6DZ1eZ3xg8jYNzurCJrnzXfq1FUlZlaG1N52_8PKAFRmS9iYtrUI6nAJtagnhlVZRzGp_ck.ZfdmHyvs1zAd38CngtgCYcgwR0HBJ4RoOgwDi4YuL5c&dib_tag=se&keywords=hats&qid=1759276708&sprefix=ha%2Caps%2C230&sr=8-7,
Outdoor UPF50+ Mesh Sun Hat Wide Brim Fishing Hat with Neck Flap Sun Hat for Men Women,13.25,,,,False,True,"https://www.amazon.com/Home-Prefer-Outback-Safari-Fishing/dp/B07CPY32PW/ref=sxin_16_pa_sp_search_thematic_sspa?content-id=amzn1.sym.ce3d9a30-5a3e-4a02-8911-43a562e67406:amzn1.sym.ce3d9a30-5a3e-4a02-8911-43a562e67406&crid=3UD0HZDEGZ2PT&cv_ct_cx=hats&keywords=hats&pd_rd_i=B07CPY32PW&pd_rd_r=b0b53c85-1ab9-41e2-9fac-952b3e1d5f46&pd_rd_w=j2tfZ&pd_rd_wg=9aFkd&pf_rd_p=ce3d9a30-5a3e-4a02-8911-43a562e67406&pf_rd_r=1T5873KKW5NJXNA8RH6C&qid=1759276708&sbo=RZvfv//HxDF+O5021pAnSA==&sprefix=ha,aps,230&sr=1-1-e0eb5ce7-1b7f-43d1-bb30-9958efc37ad7-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&psc=1",
Trucker Hat [ Great Outdoors Design ] for Men and Women: Mid Profile Cap with Breathable Mesh Back and Adjustable Snap,29.99,,,,False,False,"https://www.amazon.com/Lindo-Trucker-Hat-Outdoors-Collection/dp/B06WV7411J/ref=sxin_16_pa_sp_search_thematic_sspa?content-id=amzn1.sym.ce3d9a30-5a3e-4a02-8911-43a562e67406:amzn1.sym.ce3d9a30-5a3e-4a02-8911-43a562e67406&crid=3UD0HZDEGZ2PT&cv_ct_cx=hats&keywords=hats&pd_rd_i=B06WV7411J&pd_rd_r=b0b53c85-1ab9-41e2-9fac-952b3e1d5f46&pd_rd_w=j2tfZ&pd_rd_wg=9aFkd&pf_rd_p=ce3d9a30-5a3e-4a02-8911-43a562e67406&pf_rd_r=1T5873KKW5NJXNA8RH6C&qid=1759276708&sbo=RZvfv//HxDF+O5021pAnSA==&sprefix=ha,aps,230&sr=1-2-e0eb5ce7-1b7f-43d1-bb30-9958efc37ad7-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&psc=1",
Unisex Cadet Army Cap Adjustable Flat Top Cap Washed Cotton Military Hat Baseball Cap,12.99,,,,False,False,"https://www.amazon.com/YeeHeen-Unisex-Adjustable-Military-Baseball/dp/B0B52Y57MW/ref=sxin_16_pa_sp_search_thematic_sspa?content-id=amzn1.sym.ce3d9a30-5a3e-4a02-8911-43a562e67406:amzn1.sym.ce3d9a30-5a3e-4a02-8911-43a562e67406&crid=3UD0HZDEGZ2PT&cv_ct_cx=hats&keywords=hats&pd_rd_i=B0B52Y57MW&pd_rd_r=b0b53c85-1ab9-41e2-9fac-952b3e1d5f46&pd_rd_w=j2tfZ&pd_rd_wg=9aFkd&pf_rd_p=ce3d9a30-5a3e-4a02-8911-43a562e67406&pf_rd_r=1T5873KKW5NJXNA8RH6C&qid=1759276708&sbo=RZvfv//HxDF+O5021pAnSA==&sprefix=ha,aps,230&sr=1-3-e0eb5ce7-1b7f-43d1-bb30-9958efc37ad7-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&psc=1",
